epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
116,30506,1.14339,0.47616,0.00332,0.91697,0.82471,0.88395,0.60166,1.24096,0.52652,0.00443,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,30768.5,1.14239,0.47935,0.00335,0.91452,0.82656,0.88434,0.60164,1.24063,0.52623,0.00443,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,31030.7,1.14528,0.47899,0.00331,0.91348,0.82705,0.88444,0.6019,1.23994,0.52627,0.00443,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,31292.1,1.13543,0.46887,0.00326,0.91522,0.82667,0.88474,0.60289,1.23861,0.52592,0.00443,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,31555.2,1.13035,0.46867,0.00325,0.91649,0.82622,0.88489,0.60299,1.23797,0.52539,0.00443,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,31819.3,1.12784,0.46463,0.00322,0.91748,0.82579,0.88511,0.60306,1.23877,0.52486,0.00443,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,32082.3,1.13509,0.4714,0.00321,0.91381,0.82858,0.88494,0.60301,1.23877,0.52463,0.00443,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,32345.7,1.12348,0.46603,0.00324,0.92151,0.8203,0.88518,0.6035,1.23813,0.52391,0.00443,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,32607.5,1.11879,0.46313,0.00324,0.92068,0.82061,0.88518,0.60356,1.23755,0.52511,0.00443,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,32870.2,1.12046,0.46252,0.00323,0.92009,0.81712,0.88465,0.60332,1.23727,0.52481,0.00443,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,33132.1,1.12016,0.45903,0.00319,0.91719,0.82303,0.8849,0.60366,1.23716,0.52444,0.00443,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
